NDB_NO,Description,Fat per gram,Protein per gram,Carbs per gram,Calories per gram,F + P + C
1001,"Butter, salted",0.812,0.008,0,7.2,0.82
1002,"Butter, whipped, with salt",0.784210526,0.005263158,0.028947368,7.105263158,0.818421052
1003,"Butter oil, anhydrous",0.99453125,0.003125,0,8.75,0.99765625
1004,"Cheese, blue",0.287477954,0.214109347,0.023280423,3.527336861,0.524867724
1005,"Cheese, brick",0.296818182,0.232424242,0.027878788,3.712121212,0.557121212
1006,"Cheese, brie",0.276895944,0.207407407,0.004585538,3.350970018,0.488888889
1007,"Cheese, camembert",0.242680776,0.197883598,0.004585538,2.998236332,0.445149912
1008,"Cheese, caraway",0.292063492,0.251851852,0.030687831,3.774250441,0.574603175
1009,"Cheese, cheddar",0.333106061,0.228712121,0.030909091,4.037878788,0.592727273
1010,"Cheese, cheshire",0.30617284,0.233862434,0.047971781,3.880070547,0.588007055
1011,"Cheese, colby",0.321136364,0.237575758,0.025681818,3.939393939,0.58439394
1012,"Cheese, cottage, creamed, large or small curd",0.04300885,0.111238938,0.03380531,0.982300885,0.188053098
1013,"Cheese, cottage, creamed, with fruit",0.038495575,0.106902655,0.046106195,0.973451327,0.191504425
1014,"Cheese, cottage, nonfat, uncreamed, dry, large or small curd",0.002896552,0.10337931,0.06662069,0.717241379,0.172896552
1015,"Cheese, cottage, lowfat, 2% milkfat",0.022743363,0.104513274,0.047610619,0.814159292,0.174867256
1016,"Cheese, cottage, lowfat, 1% milkfat",0.010176991,0.123893805,0.027168142,0.716814159,0.161238938
1017,"Cheese, cream",0.344137931,0.06137931,0.055172414,3.517241379,0.460689655
1018,"Cheese, edam",0.277954145,0.24973545,0.014462081,3.562610229,0.542151676
1019,"Cheese, feta",0.2128,0.142133333,0.040866667,2.64,0.3958
1020,"Cheese, fontina",0.311363636,0.255984848,0.015530303,3.886363636,0.582878787
1021,"Cheese, gjetost",0.295238095,0.09664903,0.426455026,4.656084656,0.818342151
1022,"Cheese, gouda",0.274426808,0.249382716,0.022222222,3.562610229,0.546031746
1023,"Cheese, gruyere",0.32345679,0.298059965,0.003527337,4.126984127,0.625044092
1024,"Cheese, limburger",0.272537313,0.200522388,0.004925373,3.268656716,0.477985074
1025,"Cheese, monterey",0.30280303,0.244772727,0.006818182,3.727272727,0.554393939
1026,"Cheese, mozzarella, whole milk",0.223482143,0.221696429,0.021875,3,0.467053572
1027,"Cheese, mozzarella, whole milk, low moisture",0.246560847,0.215873016,0.024691358,3.174603175,0.487125221
1028,"Cheese, mozzarella, part skim milk",0.159082892,0.242680776,0.027865961,2.53968254,0.429629629
1029,"Cheese, mozzarella, low moisture, part-skim",0.19780303,0.2375,0.055833333,2.946969697,0.491136363
1030,"Cheese, muenster",0.300378788,0.234090909,0.011212121,3.681818182,0.545681818
1031,"Cheese, neufchatel",0.227865961,0.091358025,0.035978836,2.53968254,0.355202822
1032,"Cheese, parmesan, grated",0.2784,0.2842,0.1391,4.2,0.7017
1033,"Cheese, parmesan, hard",0.258201058,0.357671958,0.032098765,3.915343915,0.647971781
1034,"Cheese, port de salut",0.281969697,0.23780303,0.005681818,3.522727273,0.525454545
1035,"Cheese, provolone",0.266212121,0.255833333,0.021363636,3.507575758,0.54340909
1036,"Cheese, ricotta, whole milk",0.12983871,0.112580645,0.030403226,1.741935484,0.272822581
