name,Calories per gram,Carbs per gram,Fat per gram,Protein per gram, type
"seafood,tuna (yellowfin)",1.081,0,0.01,0.246, protein
"protein powder,jay robs",3.67,0.03,0,0.83, protein
"oil,coconut",9,0,1,0, fat
amaranth - arrowhead mills organic whole grain,3.511,0.585,0.064,0.149, carbs
"barley,bobs red mill (dry)",3.6,0.78,0.02,0.1, carbs
"bean threads,lungkow",3.439,0.8596,0,0, carbs
"beans,black,eden organic (canned)",0.746,0.115,0.008,0.054, carbs
"beans,bushs cannellini white kidney beans",0.8,0.1462,0,0.0538, carbs
"beans,bushs reduced sodium black beans",0.958,0.1769,0.0038,0.0538, carbs
"beans,goya black beans",0.889,0.1557,0.0041,0.0574, carbs
"beans,pinto,fat free",0.88,0.16,0,0.05, carbs
"beans,red kidney (publix)",3.26,0.58,0,0.24, carbs
"beans,kidney bushs reduced sodium",0.81,0.17,0,0.05, carbs
"beans,kidney,eden organic no salt added (canned)",0.646,0.1,0,0.062, carbs
"beans,navy",0.62,0.13,0,0, carbs
"beans,refried black beans,fat free",0.92,0.17,0,0.05, carbs
"beans,refried black casa fiesta -low fat",0.956,0.177,0,0.0619, carbs
"beans,trader joes black beans",0.864,0.16,0,0.056, carbs
bobs red mill organic oat bran,3.87,0.68,0.06,0.16, carbs
bobs red mill mighty tasty hot cereal,3.57,0.74,0.04,0.1, carbs
beets,0.43,0.096,0.002,0.016, carbs
bobs red mill organic steel cut oats,3.86,0.66,0.07,0.16, carbs
bobs red mill organic oat groats,3.91,0.65,0.07,0.15, carbs
"bread,365 organic pizza crust,whole wheat",3.035,0.4737,0.0877,0.0877, carbs
"bread,arnold sandwich thins",2.535,0.4884,0.0233,0.093, carbs
"bread,bakestone bros multigrain thin bun",2.561,0.4878,0.0244,0.0976, carbs
"bread,canyon bakehouse,7-grain (gluten free)",2.279,0.4118,0.0441,0.0588, carbs
"bread,ezekiel muffin",2.211,0.4737,0,0.0789, carbs
"bread,ezekiel 4:9 sprouted english muffin",2.118,0.3947,0.0132,0.1053, carbs
"bread,kangaroo salad pockets",2.657,0.5143,0.0286,0.0857, carbs
"bread,food for life,brown rice (gluten free)",2.477,0.4419,0.0581,0.0465, carbs
"bread,orowheat pocket thins flatbread",2.702,0.4762,0.0357,0.119, carbs
"bread,orowheat sandwich thins,honey wheat",2.628,0.5116,0.0233,0.093, carbs
"bread,pepperidge farm pumpkin spice swirl",2.893,0.5714,0.0357,0.0714, carbs
"bread,trader joes,multigrain slims",2.442,0.4651,0.0233,0.093, carbs
"bread,thomas pumpkin spice english muffin",2.377,0.4754,0.0164,0.082, carbs
"bread,whole grain pc blue menu pc thins",2.767,0.4833,0.0333,0.1333, carbs
buckwheat,3.43,0.71,0.03,0.13, carbs
buckwheat soba noodles,3.57,0.77,0.02,0.04, carbs
bulgar wheat (boiled),0.706,0.141,0.002,0.031, carbs
"bulgur,bobs red mill (cooked)",1.372,0.2773,0.0082,0.0473, carbs
cereal-corn flakes,3.713,0.8571,0,0.0714, carbs
carrots,0.382,0.082,0.002,0.009, carbs
"cereal,cheerios,uncle tobys (australia)",3.663,0.7633,0.0367,0.07, carbs
cereal-kix,3.9,0.8333,0.0333,0.0667, carbs
"cereal,chex mix traditional",4.259,0.7241,0.1207,0.069, carbs
"cereal,ezekiel 4:9 sprouted whole grain",3.16,0.65,0.04,0.14, carbs
"cereal,fiber one",2.67,0.6,0,0.07, carbs
"cereal,kelloggs all-bran buds",3.033,0.5833,0.0333,0.1, carbs
"cereal,kind cinnamon oat clusters",4.696,0.7857,0.125,0.1071, carbs
"cereal,manischewitz creamy hot wheat",3.6,0.8,0,0.1, carbs
"cereal,natures path organic kamut puffs",3.25,0.6875,0,0.125, carbs
"cereal,quaker oatmeal squares",3.75,0.7857,0.0446,0.1071, carbs
chia seeds,4.583,0.3333,0.25,0.25, carbs
"cereal,shredded wheat kellogs mini wheats (unfrosted)",3.873,0.8182,0.0182,0.1091, carbs
chickpeas,1.64,0.27,0.03,0.09, carbs
"coconut flour,tiana",4.43,0.59,0.15,0.17, carbs
"coconut chips,creative snack co.,organic toasted",5,0.4667,0.3333,0.0333, carbs
"coconut chips,c20 baked",5.7,0.5,0.4,0.025, carbs
"chips,popped quaker,blackberry pomegranate",4.054,0.8214,0.0536,0.0714, carbs
"chickpeas,pc organics",0.846,0.1269,0.0154,0.05, carbs
"cous cous,lundberg plain brown rice (dry)",3.33,0.78,0.03,0.07, carbs
"cous cous,far east herbed chicken (with water only) cooked)",1.543,0.3141,0.0039,0.0628, carbs
cous cous,1.1,0.232,0.002,0.038, carbs
"cous cous,manitou mediterranean blend",1.3,0.27,0,0.05, carbs
"corn (yellow,canned)",0.938,0.186,0.01,0.026, carbs
"corn thins,multigrain (real foods brand)",3.67,0.67,0,0.08, carbs
"crackers,food should taste good,roasted red pepper brown rice",4.411,0.75,0.125,0.0714, carbs
cream of wheat,3.625,0.765,0.015,0.105, carbs
"crackers,miltons,everything",4.267,0.7,0.1333,0.0667, carbs
cream of rice,3.6,0.825,0.005,0.063, carbs
"cream of wheat,whole grain",3.03,0.7,0.02,0.12, carbs
"english muffins,food for life 100% flourless sprouted whole grain",2.11,0.39,0.01,0.11, carbs
"farina,bobs red mill",3.66,0.78,0.02,0.07, carbs
"farro,cooked",0.88,0.23,0.01,0.04, carbs
"flat bread,trader joes,gluten free",2.383,0.5,0.0278,0.0333, carbs
"flour,kuttu",3.767,0.7667,0.0333,0.1, carbs
"flour,coconut-bobs red mill",4.143,0.5714,0.1429,0.1429, carbs
"granola,bear naked fit",4,0.73,0.08,0.13, carbs
freekeh (cooked),1.295,0.2321,0.0089,0.0714, carbs
"granola,five grain (hazelnut honey)",4.436,0.6727,0.1455,0.1091, carbs
"granola,nature valley protein (cranberry almond)",4.17,0.6226,0.0943,0.2075, carbs
"greek yogurt,chobani almond coco loco",1.591,0.167,0.067,0.08, carbs
"greek yogurt,chobani with pineapple",0.94,0.12,0.01,0.08, carbs
"greek yogurt,chobani simply 100 (all flavors)",0.72,0.1,0,0.08, carbs
grits,3.66,0.78,0.01,0.1, carbs
"greek yogurt,oikos 2% vanilla",0.975,0.13,0.015,0.08, carbs
"grits,corn",3.512,0.8049,0,0.0732, carbs
honeyville oat fiber,1.857,0.464,0,0, carbs
"kasha,wolffs",3.844,0.7778,0.0222,0.1333, carbs
"lentils,black beluga,archer farms",2.121,0.3125,0.0134,0.1875, carbs
"kasha,shiloh farms organic",3.634,0.7317,0.0244,0.122, carbs
jicama,0.38,0.09,0,0.01, carbs
"lentils,goya",3.38,0.59,0,0.25, carbs
"lentils,kroger",2.29,0.57,0,0.29, carbs
"lentils,madras lentils,tasty bite",1.081,0.1263,0.0421,0.0491, carbs
malt-o-meal (dry),3.786,0.7714,0.0143,0.1429, carbs
"lentils,red,dry (cooked)",3.681,0.5957,0.0213,0.2766, carbs
"matzo farfel,streits",3.613,0.8065,0,0.0968, carbs
"matzo meal,manischewitz,whole grain",4.017,0.8276,0.0172,0.1379, carbs
"matzo,manischewitz organic spelt",2.589,0.5357,0.0179,0.0714, carbs
"matzos,streits whole wheat",3.887,0.7742,0.0161,0.1613, carbs
"milk,cows grass fed",0.587,0.048,0.0299,0.0315, carbs
"matzos,manischewitz,whole wheat",2.732,0.5357,0.0179,0.1071, carbs
"millet grits,bobs red mill (dry)",3.606,0.7234,0.0319,0.1064, carbs
"oat bran,hodgeson mills",3.275,0.5,0.075,0.15, carbs
"oat bran,bobs red mill high fiber hot cereal",3.85,0.675,0.05,0.175, carbs
"oat bran,quaker",3.982,0.754,0.052,0.123, carbs
"oat bran,old wessex",4,0.6,0.09,0.18, carbs
"oat bran,trader joes",3.25,0.6,0.08,0.18, carbs
"oat bran,whole foods organic",3.875,0.675,0.075,0.125, carbs
"oat flour,bobs red mill",4,0.65,0.08,0.18, carbs
"oatmeal,old fashioned",3.825,0.675,0.065,0.133, carbs
"oatmeal,better oats-oat revolution maple and brown sugar",3.977,0.7209,0.0698,0.1163, carbs
"oatmeal,only oats",3.863,0.675,0.0625,0.15, carbs
"oats,bobs red mill (extra thick)",3.96,0.67,0.07,0.15, carbs
"oatmeal,steel cut",3.567,0.625,0.063,0.125, carbs
"oatmeal,simple truth organic,instant original",3.929,0.6429,0.0714,0.1786, carbs
"oats,gluten free-trader joes",3.863,0.6755,0.0625,0.15, carbs
"oats,bobs red mill quick cooking rolled",4,0.64,0.07,0.16, carbs
"oats,bobs red mill steel cut (gluten free)",4.25,0.75,0.06,0.18, carbs
"oats,bobs red mill,quick cooking oats,gluten free",3.8,0.6444,0.0667,0.1556, carbs
"oats,trader joes quick cook (steel cut)",3.75,0.68,0.06,0.13, carbs
"pancake mix,bobs red mill gluten free",3.143,0.7619,0,0.0238, carbs
